"DateTime","Users","Average Users"
"2020-08-18 00:00:00",1,
"2020-08-19 00:00:00",2,
"2020-08-20 00:00:00",1,
"2020-08-21 00:00:00",1,
"2020-08-22 00:00:00",2,
"2020-08-23 00:00:00",2,
"2020-08-24 00:00:00",2,
"2020-08-25 00:00:00",3,
"2020-08-26 00:00:00",2,
"2020-08-27 00:00:00",2,
"2020-08-28 00:00:00",3,
"2020-08-29 00:00:00",4,
"2020-08-30 00:00:00",5,
"2020-08-31 00:00:00",3,
"2020-09-01 00:00:00",4,
"2020-09-02 00:00:00",4,
"2020-09-03 00:00:00",4,
"2020-09-04 00:00:00",5,
"2020-09-05 00:00:00",5,
"2020-09-06 00:00:00",4,
"2020-09-07 00:00:00",2,
"2020-09-08 00:00:00",3,
"2020-09-09 00:00:00",5,
"2020-09-10 00:00:00",3,
"2020-09-11 00:00:00",3,
"2020-09-12 00:00:00",3,
"2020-09-13 00:00:00",4,
"2020-09-14 00:00:00",3,
"2020-09-15 00:00:00",3,
"2020-09-16 00:00:00",4,
"2020-09-17 00:00:00",3,
"2020-09-18 00:00:00",4,
"2020-09-19 00:00:00",5,
"2020-09-20 00:00:00",2,
"2020-09-21 00:00:00",3,
"2020-09-22 00:00:00",2,
"2020-09-23 00:00:00",3,
"2020-09-24 00:00:00",4,
"2020-09-25 00:00:00",5,
"2020-09-26 00:00:00",3,
"2020-09-27 00:00:00",4,
"2020-09-28 00:00:00",2,
"2020-09-29 00:00:00",2,
"2020-09-30 00:00:00",1,
"2020-10-01 00:00:00",2,
"2020-10-02 00:00:00",2,
"2020-10-03 00:00:00",4,
"2020-10-04 00:00:00",3,
"2020-10-05 00:00:00",2,
"2020-10-06 00:00:00",4,
"2020-10-07 00:00:00",5,
"2020-10-08 00:00:00",5,
"2020-10-09 00:00:00",5,
"2020-10-10 00:00:00",5,
"2020-10-11 00:00:00",5,
"2020-10-12 00:00:00",4,
"2020-10-13 00:00:00",3,
"2020-10-14 00:00:00",4,
"2020-10-15 00:00:00",6,
"2020-10-16 00:00:00",5,
"2020-10-17 00:00:00",5,
"2020-10-18 00:00:00",4,
"2020-10-19 00:00:00",4,
"2020-10-20 00:00:00",6,
"2020-10-21 00:00:00",4,
"2020-10-22 00:00:00",3,
"2020-10-23 00:00:00",4,
"2020-10-24 00:00:00",3,
"2020-10-25 00:00:00",3,
"2020-10-26 00:00:00",4,
"2020-10-27 00:00:00",3,
"2020-10-28 00:00:00",3,
"2020-10-29 00:00:00",8,
"2020-10-30 00:00:00",8,
"2020-10-31 00:00:00",5,
"2020-11-01 00:00:00",5,
"2020-11-02 00:00:00",5,
"2020-11-03 00:00:00",4,
"2020-11-04 00:00:00",6,
"2020-11-05 00:00:00",4,
"2020-11-06 00:00:00",3,
"2020-11-07 00:00:00",4,
"2020-11-08 00:00:00",4,
"2020-11-09 00:00:00",6,
"2020-11-10 00:00:00",5,
"2020-11-11 00:00:00",6,
"2020-11-12 00:00:00",8,
"2020-11-13 00:00:00",5,
"2020-11-14 00:00:00",9,
"2020-11-15 00:00:00",7,
"2020-11-16 00:00:00",8,
"2020-11-17 00:00:00",9,
"2020-11-18 00:00:00",9,
"2020-11-19 00:00:00",8,
"2020-11-20 00:00:00",7,
"2020-11-21 00:00:00",7,
"2020-11-22 00:00:00",6,
"2020-11-23 00:00:00",8,
"2020-11-24 00:00:00",9,
"2020-11-25 00:00:00",9,
"2020-11-26 00:00:00",10,
"2020-11-27 00:00:00",11,
"2020-11-28 00:00:00",10,
"2020-11-29 00:00:00",8,
"2020-11-30 00:00:00",13,
"2020-12-01 00:00:00",9,
"2020-12-02 00:00:00",9,
"2020-12-03 00:00:00",12,
"2020-12-04 00:00:00",13,
"2020-12-05 00:00:00",29,
"2020-12-06 00:00:00",21,
"2020-12-07 00:00:00",21,
"2020-12-08 00:00:00",23,
"2020-12-09 00:00:00",23,
"2020-12-10 00:00:00",19,
"2020-12-11 00:00:00",24,
"2020-12-12 00:00:00",20,
"2020-12-13 00:00:00",23,
"2020-12-14 00:00:00",15,
"2020-12-15 00:00:00",21,
"2020-12-16 00:00:00",25,
"2020-12-17 00:00:00",24,
"2020-12-18 00:00:00",21,
"2020-12-19 00:00:00",20,
"2020-12-20 00:00:00",19,
"2020-12-21 00:00:00",18,
"2020-12-22 00:00:00",16,
"2020-12-23 00:00:00",16,
"2020-12-24 00:00:00",16,
"2020-12-25 00:00:00",15,
"2020-12-26 00:00:00",13,
"2020-12-27 00:00:00",19,
"2020-12-28 00:00:00",20,
"2020-12-29 00:00:00",22,
"2020-12-30 00:00:00",23,
"2020-12-31 00:00:00",19,
"2021-01-01 00:00:00",15,
"2021-01-02 00:00:00",19,
"2021-01-03 00:00:00",22,
"2021-01-04 00:00:00",24,
"2021-01-05 00:00:00",21,
"2021-01-06 00:00:00",24,
"2021-01-07 00:00:00",22,
"2021-01-08 00:00:00",26,
"2021-01-09 00:00:00",25,
"2021-01-10 00:00:00",26,
"2021-01-11 00:00:00",30,
"2021-01-12 00:00:00",37,
"2021-01-13 00:00:00",41,
"2021-01-14 00:00:00",26,
"2021-01-15 00:00:00",32,
"2021-01-16 00:00:00",37,
"2021-01-17 00:00:00",34,
"2021-01-18 00:00:00",38,
"2021-01-19 00:00:00",35,
"2021-01-20 00:00:00",37,
"2021-01-21 00:00:00",38,
"2021-01-22 00:00:00",47,
"2021-01-23 00:00:00",39,
"2021-01-24 00:00:00",39,
"2021-01-25 00:00:00",42,
"2021-01-26 00:00:00",45,
"2021-01-27 00:00:00",41,
"2021-01-28 00:00:00",81,
"2021-01-29 00:00:00",82,
"2021-01-30 00:00:00",99,
"2021-01-31 00:00:00",106,
"2021-02-01 00:00:00",106,
"2021-02-02 00:00:00",115,
"2021-02-03 00:00:00",102,
"2021-02-04 00:00:00",113,
"2021-02-05 00:00:00",104,
"2021-02-06 00:00:00",96,
"2021-02-07 00:00:00",98,
"2021-02-08 00:00:00",90,
"2021-02-09 00:00:00",102,
"2021-02-10 00:00:00",106,
"2021-02-11 00:00:00",106,
"2021-02-12 00:00:00",133,
"2021-02-13 00:00:00",128,
"2021-02-14 00:00:00",140,
"2021-02-15 00:00:00",139,
"2021-02-16 00:00:00",154,
"2021-02-17 00:00:00",133,
"2021-02-18 00:00:00",135,
"2021-02-19 00:00:00",149,
"2021-02-20 00:00:00",157,
"2021-02-21 00:00:00",157,
"2021-02-22 00:00:00",154,
"2021-02-23 00:00:00",182,
"2021-02-24 00:00:00",145,
"2021-02-25 00:00:00",145,
"2021-02-26 00:00:00",163,
"2021-02-27 00:00:00",184,
"2021-02-28 00:00:00",167,
"2021-03-01 00:00:00",170,
"2021-03-02 00:00:00",182,
"2021-03-03 00:00:00",185,
"2021-03-04 00:00:00",188,
"2021-03-05 00:00:00",185,
"2021-03-06 00:00:00",189,
"2021-03-07 00:00:00",178,
"2021-03-08 00:00:00",177,
"2021-03-09 00:00:00",213,
"2021-03-10 00:00:00",185,
"2021-03-11 00:00:00",212,
"2021-03-12 00:00:00",258,
"2021-03-13 00:00:00",266,
"2021-03-14 00:00:00",292,
"2021-03-15 00:00:00",289,
"2021-03-16 00:00:00",297,
"2021-03-17 00:00:00",313,
"2021-03-18 00:00:00",289,
"2021-03-19 00:00:00",317,
"2021-03-20 00:00:00",298,
"2021-03-21 00:00:00",303,
"2021-03-22 00:00:00",296,
"2021-03-23 00:00:00",307,
"2021-03-24 00:00:00",332,
"2021-03-25 00:00:00",297,
"2021-03-26 00:00:00",312,
"2021-03-27 00:00:00",321,
"2021-03-28 00:00:00",330,
"2021-03-29 00:00:00",313,
"2021-03-30 00:00:00",308,
"2021-03-31 00:00:00",313,
"2021-04-01 00:00:00",337,
"2021-04-02 00:00:00",323,
"2021-04-03 00:00:00",329,
"2021-04-04 00:00:00",325,
"2021-04-05 00:00:00",321,
"2021-04-06 00:00:00",339,
"2021-04-07 00:00:00",366,
"2021-04-08 00:00:00",340,
"2021-04-09 00:00:00",364,
"2021-04-10 00:00:00",382,
"2021-04-11 00:00:00",354,
"2021-04-12 00:00:00",393,
"2021-04-13 00:00:00",368,
"2021-04-14 00:00:00",375,
"2021-04-15 00:00:00",357,
"2021-04-16 00:00:00",352,
"2021-04-17 00:00:00",389,
"2021-04-18 00:00:00",399,
"2021-04-19 00:00:00",352,
"2021-04-20 00:00:00",391,
"2021-04-21 00:00:00",415,
"2021-04-22 00:00:00",386,
"2021-04-23 00:00:00",397,
"2021-04-24 00:00:00",408,
"2021-04-25 00:00:00",402,
"2021-04-26 00:00:00",464,
"2021-04-27 00:00:00",411,
"2021-04-28 00:00:00",429,
"2021-04-29 00:00:00",419,
"2021-04-30 00:00:00",397,
"2021-05-01 00:00:00",451,
"2021-05-02 00:00:00",431,
"2021-05-03 00:00:00",433,
"2021-05-04 00:00:00",434,
"2021-05-05 00:00:00",437,
"2021-05-06 00:00:00",475,
"2021-05-07 00:00:00",446,
"2021-05-08 00:00:00",438,
"2021-05-09 00:00:00",425,
"2021-05-10 00:00:00",451,
"2021-05-11 00:00:00",468,
"2021-05-12 00:00:00",476,
"2021-05-13 00:00:00",445,
